AAA,Anaa,GLF
YPQ,Peterborough,YPQ
YPR,Digby Island,YPR
YPW,Powell River,YPW
YPX,Povungnituk,YPX
YPY,Fort Chipewyan,YPY
YQA,Muskoka,YQA
YQB,Quebec,YQB
YQC,Quaqtaq,YQC
YQD,The Pas,YQD
YQG,Windsor,YQG
YQH,Watson Lake,YQH
YQI,Yarmouth,YQI
YQK,Kenora,YQK
YQL,Lethbridge,YQL
YQM,Moncton,YQM
YQQ,Comox,YQQ
YQR,Regina,YQR
YQT,Thunder Bay,YQT
YQU,Grande Prairie,YQU
YQV,Yorkton,YQV
YQW,North Battleford,YQW
YQX,Gander,YQX
YQY,Sydney,YQY
YQZ,Quesnel,YQZ
YRA,Rae Lakes,YRA
YRB,Resolute,YRB
YRD,Dean River,YRD
YRF,Cartwright,YRF
YRG,Rigolet,YRG
YRJ,Roberval,YRJ
YRL,Red Lake,YRL
YRO,Rockcliffe St,YOW
YRS,Red Sucker Lake,YRS
YRT,Rankin Inlet,YRT
YSB,Sudbury,YSB
YSE,Squamish,YSE
YSF,Stony Rapids,YSF
YSG,Snowdrift,YSG
YSJ,Saint John,YSJ
YSK,Sanikiluaq,YSK
YSM,Fort Smith,YSM
YSN,Salmon Arm,YSN
YSO,Postville,YSO
YSP,Marathon,YSP
YSR,Nanisivik,YSR
YST,Ste Therese Point,YST
YSY,Sachs Harbour,YSY
YTA,Pembroke And Area,YTA
YTB,Hartley Bay,YTB
YTC,Sturdee,YTC
YTE,Cape Dorset,YTE
YTF,Alma,YTF
YTH,Thompson,YTH
YTJ,Terrace Bay,YTJ
YTL,Big Trout,YTL
YTM,Quebec Mont Tremblant Intl Airport,YTM
YTO,Toronto (All Airports),YTO
YTQ,Tasiujuaq,YTQ
YTR,Trenton,YTR
YTS,Timmins,YTS
YTT,Tisdale,YTT
YTX,Telegraph Creek,YTX
YTZ,Toronto Island,YTO
YUB,Tuktoyaktuk,YUB
YUD,Umiujaq,YUD
YUF,Dewline Site,YUF
YUL,Dorval,YMQ
YUM,Yuma Int'l,YUM
YUT,Repulse Bay,YUT
YUX,Hall Beach,YUX
YUY,Rouyn,YUY
YVA,Iconi,YVA
YVB,Bonaventure,YVB
YVC,La Ronge,YVC
YVE,Vernon,YVE
YVM,Broughton Island,YVM
YVO,Val D'Or,YVO
YVP,Kuujjuaq,YVP
YVQ,Norman Wells,YVQ
YVR,Vancouver Int'l,YVR
YVT,Buffalo Narrows,YVT
YVZ,Deer Lake,YVZ
YWB,Kangiqsujuaq,YWB
YWG,Winnipeg,YWG
YWH,Inner Harbor,YYJ
YWJ,Fort Franklin,YWJ
YWK,Wabush,YWK
YWL,Williams Lake,YWL
YWP,Webequie,YWP
YWS,Whistler,YWS
YWY,Wrigley,YWY
YXC,Cranbrook,YXC
YXD,Edmonton Municipal,YEA
YXE,Saskatoon,YXE
YXH,Medicine Hat,YXH
YXJ,Fort St John,YXJ
YXK,Rimouski,YXK
YXL,Sioux Lookout,YXL
YXN,Whale Cove,YXN
YXP,Pangnirtung,YXP
YXR,Earlton,YXR
YXS,Prince George,YXS
YXT,Terrace,YXT
YXU,London,YXU
YXX,Abbotsford,YXX
YXY,Whitehorse,YXY
YXZ,Wawa,YXZ
YYB,North Bay,YYB
YYC,Calgary Int'l,YYC
YYD,Smithers,YYD
YYE,Fort Nelson,YYE
YYF,Penticton Regional,YYF
YYG,Charlottetown,YYG
YYH,Taloyoak,YYH
YYJ,Victoria Int'l,YYJ
YYL,Lynn Lake,YYL
YYN,Swift Current,YYN
YYQ,Churchill,YYQ
YYR,Goose Bay,YYR
YYT,St Johns,YYT
YYU,Kapuskasing,YYU
YYY,Mont Joli,YYY
YYZ,Pearson Int'l,YTO
YZE,Gore Bay,YZE
YZF,Yellowknife,YZF
YZG,Salluit,YZG
YZP,Sandspit,YZP
YZR,Sarnia,YZR
YZS,Coral Harbour,YZS
YZT,Port Hardy,YZT
YZV,Sept Iles,YZV
ZAD,Zadar,ZAD
ZAG,Pleso,ZAG
ZAH,Zahedan,ZAH
ZAJ,Zaranj,ZAJ
ZAL,Pichoy,ZAL
ZAM,Zamboanga,ZAM
ZAQ,Nuremberg Railway Station,ZAQ
ZAR,Zaria,ZAR
ZAZ,Zaragoza,ZAZ
ZBF,Bathurst,ZBF
ZBR,Chah Bahar,ZBR
ZBY,Sayaboury,ZBY
ZCL,La Calera,ZCL
ZCO,Temuco,ZCO
ZDH,,ZDH
ZFD,Fond Du Lac,ZFD
ZFJ,,ZFJ
ZFM,Fort Mcpherson,ZFM
ZFN,Fort Norman,ZFN
ZFQ,,ZFQ
ZFV,,ZFV
ZGC,Zagreb Bus Station,ZGC
ZGG,Glasgow Central station,ZGG
ZGI,Gods River,ZGI
ZGS,Gethsemani,ZGS
ZHA,Zhanjiang,ZHA
ZIA,Zhukovsky International Airport,ZIA
ZIG,Ziguinchor,ZIG
ZIH,Ixtapa Zihuatanej Int'l,ZIH
ZJG,Jenpeg,ZJG
ZKB,Kasaba Bay,ZKB
ZKE,Kaschechewan,ZKE
ZKG,Kegaska,ZKG
ZKM,Sette Cama,ZKM
ZLO,Manzanillo,ZLO
ZLT,La Tabatiere,ZLT
ZLZ,Leeds Bus Station,ZLZ
ZMM,Zamora,ZMM
ZMS,S.M. Novella Rail.Svc Airport,ZMS
ZMT,Masset,ZMT
ZND,Zinder,ZND
ZNE,Newman,ZNE
ZNZ,Kisauni,ZNZ
ZOS,Canal Balo,ZOS
ZPB,Sachigo Lake,ZPB
ZQN,Frnkton,ZQN
ZQW,Zweibrucken Airport,ZQW
ZRH,Zurich,ZRH
ZRI,Serui,ZRI
ZRJ,Round Lake,ZRJ
ZRM,Sarmi,ZRM
ZSA,San Salvador,ZSA
ZSE,St Pierre De La Reunion,ZSE
ZSJ,Sandy Lake,ZSJ
ZSS,Sassandra,ZSS
ZSW,Seal Cove,YPR
ZTB,Tete A La Baleine,ZTB
ZTH,Zakinthos Is,ZTH
ZTM,Shamattawa,ZTM
ZUH,Zhuhai International Airport,ZUH
ZUI,GUANGDONG,ZUI
ZUM,Churchill Falls,ZUM
ZVA,Miandrivazo,ZVA
ZVH,Al Ain Bus Station,ZVH
ZVJ,Abu Dhabi-bus Station,ZVJ
ZVK,Savannakhet,ZVK
ZVR,Hannover Hauptbahnhof,ZVR
ZWA,Andapa,ZWA
ZWE,,ZWE
ZWL,Wollaston Lake,ZWL
ZWS,,ZWS
ZXE,Edinburgh Waverley station,ZXE
ZXZ,Jumeirah Beach,DXB
ZYA,Amsterdam Central Station,ZYA
ZYL,Sylhet Civil,ZYL
ZYN,Nimes Railway Station,ZYN
ZYR,Brussels Midi Railway Station,BRU
ZYT,,ZYT
ZZU,Mzuzu,ZZU
ZZZ,Ringsted,ZZ1
